file,course_number,course_name,instructor,year,term,num_respondents,The instructor's teaching effectiveness is:,The intellectual challenge of this course is:,The teaching assistant for this course is:,Feedback on my work for this course is useful:,"Compared to other Hopkins courses at this level, the workload for this course is:"
EN_601_220_11_SU17 Intermediate Programming Froehlich_ Peter 2017 Summer I ASEN 7 of 13  responded _53_85__ Download PDF.pdf,EN.601.220,Intermediate Programming,Peter Froehlich,2017,Summer,7,"[(1, 0), (2, 0), (3, 1), (4, 4), (5, 2), (0, 0)]","[(1, 0), (2, 0), (3, 0), (4, 0), (5, 7), (0, 0)]","[(1, 0), (2, 0), (3, 0), (4, 2), (5, 5), (0, 0)]","[(1, 0), (2, 0), (3, 0), (4, 2), (5, 4), (0, 0)]","[(1, 0), (2, 0), (3, 1), (4, 3), (5, 2), (0, 0)]"
EN_601_107_21_SU17 Introductory Programming in Java Selinski_ Joanne 2017 Summer II ASEN 19 of 30  responded _63_33__ Download PDF.pdf,EN.601.107,Introductory Programming in Java,Joanne Selinski,2017,Summer,19,"[(1, 0), (2, 0), (3, 1), (4, 3), (5, 13), (0, 0)]","[(1, 0), (2, 1), (3, 2), (4, 4), (5, 10), (0, 0)]","[(1, 0), (2, 0), (3, 1), (4, 5), (5, 9), (0, 2)]","[(1, 0), (2, 0), (3, 3), (4, 4), (5, 10), (0, 0)]","[(1, 1), (2, 1), (3, 6), (4, 5), (5, 1), (0, 3)]"
EN_601_226_21_SU17 Data Structures Mamat_ Anwar 2017 Summer II ASEN 13 of 21  responded _61_90__ Download PDF.pdf,EN.601.226,Data Structures,Anwar Mamat,2017,Summer,13,"[(1, 0), (2, 2), (3, 3), (4, 3), (5, 5), (0, 0)]","[(1, 0), (2, 1), (3, 4), (4, 1), (5, 7), (0, 0)]","[(1, 2), (2, 0), (3, 4), (4, 2), (5, 3), (0, 2)]","[(1, 2), (2, 2), (3, 2), (4, 5), (5, 1), (0, 0)]","[(1, 1), (2, 2), (3, 5), (4, 3), (5, 1), (0, 0)]"
EN_601_875_01_FA17 Selected Topics in Machine Learning Arora_ Raman 2017 Fall Computer Science 5 of 6  responded _83_33__ Download PDF.pdf,EN.601.875,Selected Topics in Machine Learning,Raman Arora,2017,Fall,5,"[(1, 0), (2, 0), (3, 0), (4, 0), (5, 4), (0, 1)]","[(1, 0), (2, 0), (3, 0), (4, 0), (5, 5), (0, 0)]","[(1, 0), (2, 0), (3, 0), (4, 1), (5, 1), (0, 3)]","[(1, 0), (2, 0), (3, 0), (4, 1), (5, 3), (0, 1)]","[(1, 1), (2, 2), (3, 1), (4, 1), (5, 0), (0, 0)]"
EN_601_775_01_FA17 Statistical Machine Learning Arora_ Raman 2017 Fall Computer Science 21 of 23  responded _91_30__ Download PDF.pdf,EN.601.775,Statistical Machine Learning,Raman Arora,2017,Fall,21,"[(1, 0), (2, 0), (3, 4), (4, 9), (5, 7), (0, 1)]","[(1, 0), (2, 0), (3, 2), (4, 7), (5, 10), (0, 2)]","[(1, 0), (2, 0), (3, 1), (4, 8), (5, 10), (0, 2)]","[(1, 0), (2, 0), (3, 3), (4, 8), (5, 6), (0, 4)]","[(1, 0), (2, 0), (3, 6), (4, 10), (5, 2), (0, 3)]"
EN_601_826_01_FA17 Selected Topics in Programming Languages 2017 Fall ASEN 7 of 7  responded _100_00__ Download PDF.pdf,EN.601.826,Selected Topics in Programming Languages,,2017,Fall,7,"[(1, 0), (2, 0), (3, 0), (4, 1), (5, 5), (0, 1)]","[(1, 0), (2, 0), (3, 0), (4, 1), (5, 5), (0, 1)]","[(1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (0, 7)]","[(1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (0, 7)]","[(1, 2), (2, 0), (3, 0), (4, 0), (5, 0), (0, 5)]"
EN_601_875_01_FA17 Selected Topics in Machine Learning 2017 Fall ASEN 5 of 6  responded _83_33__ Download PDF.pdf,EN.601.875,Selected Topics in Machine Learning,,2017,Fall,5,"[(1, 0), (2, 0), (3, 0), (4, 0), (5, 4), (0, 1)]","[(1, 0), (2, 0), (3, 0), (4, 0), (5, 5), (0, 0)]","[(1, 0), (2, 0), (3, 0), (4, 1), (5, 1), (0, 3)]","[(1, 0), (2, 0), (3, 0), (4, 1), (5, 3), (0, 1)]","[(1, 1), (2, 2), (3, 1), (4, 1), (5, 0), (0, 0)]"
EN_601_730_01_FA17 Pseudorandomness and Combinatorial Constructions 2017 Fall ASEN 4 of 6  responded _66_67__ Download PDF.pdf,EN.601.730,Pseudorandomness and Combinatorial Constructions,,2017,Fall,4,"[(1, 1), (2, 0), (3, 0), (4, 1), (5, 2), (0, 0)]","[(1, 0), (2, 0), (3, 0), (4, 1), (5, 3), (0, 0)]","[(1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (0, 4)]","[(1, 0), (2, 1), (3, 0), (4, 1), (5, 2), (0, 0)]","[(1, 0), (2, 0), (3, 3), (4, 1), (5, 0), (0, 0)]"
EN_601_866_01_FA17 Selected Topics in Meaning_ Translation and Generation of Text 2017 Fall ASEN 7 of 13  responded _53_85__ Download PDF.pdf,EN.601.866,"Selected Topics in Meaning, Translation and Generation of Text",,2017,Fall,7,"[(1, 0), (2, 0), (3, 0), (4, 2), (5, 4), (0, 0)]","[(1, 0), (2, 0), (3, 0), (4, 3), (5, 3), (0, 0)]","[(1, 0), (2, 0), (3, 0), (4, 1), (5, 1), (0, 4)]","[(1, 0), (2, 0), (3, 0), (4, 1), (5, 2), (0, 3)]","[(1, 0), (2, 1), (3, 3), (4, 0), (5, 0), (0, 1)]"
EN_601_714_01_FA17 Advanced Computer Networks 2017 Fall ASEN 9 of 10  responded _90_00__ Download PDF.pdf,EN.601.714,Advanced Computer Networks,,2017,Fall,9,"[(1, 0), (2, 0), (3, 1), (4, 3), (5, 5), (0, 0)]","[(1, 0), (2, 0), (3, 1), (4, 4), (5, 4), (0, 0)]","[(1, 0), (2, 0), (3, 3), (4, 2), (5, 3), (0, 1)]","[(1, 0), (2, 2), (3, 1), (4, 3), (5, 3), (0, 0)]","[(1, 0), (2, 1), (3, 8), (4, 0), (5, 0), (0, 0)]"
EN_601_775_01_FA17 Statistical Machine Learning 2017 Fall ASEN 21 of 23  responded _91_30__ Download PDF.pdf,EN.601.775,Statistical Machine Learning,,2017,Fall,21,"[(1, 0), (2, 0), (3, 4), (4, 9), (5, 7), (0, 1)]","[(1, 0), (2, 0), (3, 2), (4, 7), (5, 10), (0, 2)]","[(1, 0), (2, 0), (3, 1), (4, 8), (5, 10), (0, 2)]","[(1, 0), (2, 0), (3, 3), (4, 8), (5, 6), (0, 4)]","[(1, 0), (2, 0), (3, 6), (4, 10), (5, 2), (0, 3)]"
EN_601_866_01_FA17 Selected Topics in Meaning_ Translation and Generation of Text Van Durme_ Benjamin 2017 Fall Computer Science 7 of 13  responded _53_85__ Download PDF.pdf,EN.601.866,"Selected Topics in Meaning, Translation and Generation of Text",Benjamin Van Durme,2017,Fall,7,"[(1, 0), (2, 0), (3, 0), (4, 2), (5, 4), (0, 0)]","[(1, 0), (2, 0), (3, 0), (4, 3), (5, 3), (0, 0)]","[(1, 0), (2, 0), (3, 0), (4, 1), (5, 1), (0, 4)]","[(1, 0), (2, 0), (3, 0), (4, 1), (5, 2), (0, 3)]","[(1, 0), (2, 1), (3, 3), (4, 0), (5, 0), (0, 1)]"
EN_601_730_01_FA17 Pseudorandomness and Combinatorial Constructions Li_ Xin 2017 Fall Computer Science 4 of 6  responded _66_67__ Download PDF.pdf,EN.601.730,Pseudorandomness and Combinatorial Constructions,Xin Li,2017,Fall,4,"[(1, 1), (2, 0), (3, 0), (4, 1), (5, 2), (0, 0)]","[(1, 0), (2, 0), (3, 0), (4, 1), (5, 3), (0, 0)]","[(1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (0, 4)]","[(1, 0), (2, 1), (3, 0), (4, 1), (5, 2), (0, 0)]","[(1, 0), (2, 0), (3, 3), (4, 1), (5, 0), (0, 0)]"
